match_id,teams,time,numeric_time,half,action,number,team,goalkeeper,opponent_goalkeeper,assist_number,goal_number,shot_number,goal,shot_speed,in_goal_position,shot_position,post,saved,vertical_goal_position,horizontal_goal_position,causes_7m_number,receives_7m_number,turnover,technical_foul,steal,suspension,is_home,number_suspended,no_goalkeeper,number_court_players,possession,number_of_possession,start_of_possession,end_of_possession,score,lead,number_of_possesion
1,FRA - POL,0:00,0,1,GERARD V Goalkeeper,12,FRA,12,94,,,,0,,"","",,,"","",,,,,,,TRUE,0,,,FRA,1,"","",0 - 0,0,
1,FRA - POL,0:00,0,1,MORAWSKI A Goalkeeper,94,POL,94,12,,,,0,,"","",,,"","",,,,,,,FALSE,0,,,FRA,1,"","",0 - 0,0,
1,FRA - POL,0:38,38,1,TOURNAT N Shot centre 6m saved top right,11,FRA,12,94,,,11,0,,top right,centre 6m,,1,top,right,,,,,,,TRUE,0,0,6,FRA,1,0:00,0:38,0 - 0,0,
1,FRA - POL,1:28,88,1,SICKO S Shot left 6m saved top left,9,POL,94,12,,,9,0,,top left,left 6m,,1,top,left,,,,,,,FALSE,0,0,6,POL,2,0:38,1:28,0 - 0,0,
1,FRA - POL,1:37,97,1,"GREBILLE M Goal left wing bottom left (5 REMILI N), 79 km/h",15,FRA,12,94,5,15,,1,79,bottom left,left wing,,,bottom,left,,,,,,,TRUE,0,0,6,FRA,3,1:28,1:37,1 - 0,1,
1,FRA - POL,2:23,143,1,OLEJNICZAK M Goal centre 9m bottom right,5,POL,94,12,,5,,1,,bottom right,centre 9m,,,bottom,right,,,,,,,FALSE,0,0,6,POL,4,1:37,2:23,1 - 1,0,
1,FRA - POL,2:34,154,1,REMILI N Turnover,5,FRA,12,94,,,,0,,"","",,,"","",,,5,,,,TRUE,0,0,6,FRA,5,2:23,2:34,1 - 1,0,
1,FRA - POL,2:46,166,1,MORYTO A Shot right 6m missed,23,POL,94,12,,,23,0,,missed,right 6m,,,"","",,,,,,,FALSE,0,0,6,POL,6,2:34,2:46,1 - 1,0,
1,FRA - POL,3:16,196,1,GEBALA M Warning (yellow card),28,POL,94,12,,,,0,,"","",,,"","",,,,,,,FALSE,0,0,6,POL,6,2:34,2:46,1 - 1,0,
1,FRA - POL,3:25,205,1,REMILI N Shot left 6m post,5,FRA,12,94,,,5,0,,post,left 6m,1,,"","",,,,,,,TRUE,0,0,6,FRA,7,2:46,3:25,1 - 1,0,
1,FRA - POL,3:36,216,1,TOURNAT N Block,11,FRA,12,94,,,,0,,"","",,,"","",,,,,,,TRUE,0,0,6,POL,8,3:25,3:36,1 - 1,0,
1,FRA - POL,3:36,216,1,OLEJNICZAK M Shot right 6m blocked,5,POL,94,12,,,5,0,,blocked,right 6m,,,"","",,,,,,,FALSE,0,0,6,POL,8,3:25,3:36,1 - 1,0,
1,FRA - POL,3:46,226,1,LENNE Y Technical Fault,2,FRA,12,94,,,,0,,"","",,,"","",,,,2,,,TRUE,0,0,6,FRA,9,3:36,3:46,1 - 1,0,
1,FRA - POL,4:13,253,1,"SICKO S Goal centre 9m middle right, 85 km/h",9,POL,94,12,,9,,1,85,middle right,centre 9m,,,middle,right,,,,,,,FALSE,0,0,6,POL,10,3:46,4:13,1 - 2,-1,
1,FRA - POL,4:24,264,1,"MEM D Goal left 9m bottom left, 111 km/h",10,FRA,12,94,,10,,1,111,bottom left,left 9m,,,bottom,left,,,,,,,TRUE,0,0,6,FRA,11,4:13,4:24,2 - 2,0,
1,FRA - POL,4:50,290,1,TOURNAT N Warning (yellow card),11,FRA,12,94,,,,0,,"","",,,"","",,,,,,,TRUE,0,0,6,FRA,11,4:13,4:24,2 - 2,0,
1,FRA - POL,5:05,305,1,MORYTO A Goal Penalty shot top left,23,POL,94,12,,23,,1,,top left,Penalty,,,top,left,,,,,,,FALSE,0,0,6,POL,12,4:24,5:05,2 - 3,-1,
1,FRA - POL,5:45,345,1,MEM D Technical Fault,10,FRA,12,94,,,,0,,"","",,,"","",,,,10,,,TRUE,0,0,6,FRA,13,5:05,5:45,2 - 3,-1,
1,FRA - POL,5:56,356,1,SICKO S Shot left 9m saved middle right,9,POL,94,12,,,9,0,,middle right,left 9m,,1,middle,right,,,,,,,FALSE,0,0,6,POL,14,5:45,6:21,2 - 3,-1,
1,FRA - POL,6:21,381,1,"GEBALA M Goal centre 6m bottom left (5 OLEJNICZAK M), 61 km/h",28,POL,94,12,5,28,,1,61,bottom left,centre 6m,,,bottom,left,,,,,,,FALSE,0,0,6,POL,14,5:45,6:21,2 - 4,-2,
1,FRA - POL,6:38,398,1,"REMILI N Goal fast break middle left, 70 km/h",5,FRA,12,94,,5,,1,70,middle left,fast break,,,middle,left,,,,,,,TRUE,0,0,6,FRA,15,6:21,6:38,3 - 4,-1,
1,FRA - POL,7:40,460,1,GEBALA M Technical Fault,28,POL,94,12,,,,0,,"","",,,"","",,,,28,,,FALSE,0,0,6,POL,16,6:38,7:40,3 - 4,-1,
1,FRA - POL,7:49,469,1,TOURNAT N 7m received,11,FRA,12,94,,,,0,,"","",,,"","",,11,,,,,TRUE,0,0,6,FRA,17,7:40,7:49,3 - 4,-1,
1,FRA - POL,7:49,469,1,GEBALA M 7m caused,28,POL,94,12,,,,0,,"","",,,"","",28,,,,,,FALSE,0,0,6,FRA,17,7:40,7:49,3 - 4,-1,
1,FRA - POL,7:49,469,1,GEBALA T 2-minutes suspension,48,POL,94,12,,,,0,,"","",,,"","",,,,,,48,FALSE,0,0,6,FRA,17,7:40,7:49,3 - 4,-1,
1,FRA - POL,7:49,469,1,MAHE K Goal Penalty shot top left,14,FRA,12,94,,14,,1,,top left,Penalty,,,top,left,,,,,,,TRUE,0,0,6,FRA,17,7:40,7:49,4 - 4,0,
1,FRA - POL,8:09,489,1,SICKO Sfor 94 MORAWSKI A Empty goal,9,POL,Empty goal,12,,,,0,,"","",,,"","",,,,,,,FALSE,-1,1,6,FRA,17,7:40,7:49,4 - 4,0,
1,FRA - POL,8:59,539,1,TOURNAT N Block,11,FRA,12,Empty goal,,,,0,,"","",,,"","",,,,,,,TRUE,0,0,6,POL,18,7:49,9:20,4 - 4,0,
