possession,pace
SWE,24.6918604651163
FRA,27.7636363636364
DEN,28.0714285714286
CRO,29.4320987654321
EGY,30.0903614457831
NED,30.3664596273292
ESP,31.0359281437126
URU,31.7430167597765
CHI,32.4716981132075
NOR,32.6282051282051
GER,33.1273885350319
USA,33.1618497109827
MNE,33.7080745341615
SRB,33.8562091503268
BEL,34.1168831168831
CPV,34.207100591716
ISL,34.2352941176471
HUN,34.3870967741936
ALG,34.9006211180124
SLO,35.1428571428571
MKD,35.1604938271605
IRI,35.7484662576687
KOR,35.8789808917197
BRA,36.583850931677
TUN,37.0201342281879
POR,37.2344827586207
MAR,37.4233128834356
ARG,37.5
QAT,37.5838926174497
POL,38.7122302158273
KSA,39.4050632911392
BRN,44.5684931506849
