possession,match_id,teams,pace
SWE,38,URU - SWE,20.1818181818182
FRA,19,FRA - KSA,22.0491803278689
DEN,30,DEN - BRN,22.3529411764706
EGY,31,EGY - MAR,24.5614035087719
GER,57,GER - ARG,24.6315789473684
NED,9,ARG - NED,26.0877192982456
SLO,51,IRI - SLO,26.2727272727273
SWE,22,SWE - CPV,26.7777777777778
SWE,54,SWE - HUN,27.1090909090909
CRO,48,CRO - MAR,27.1320754716981
CRO,32,CRO - USA,27.3770491803279
EGY,47,USA - EGY,27.5833333333333
ISL,39,KOR - ISL,27.7894736842105
FRA,50,FRA - MNE,27.9285714285714
USA,64,USA - BRN,28.0892857142857
SWE,6,SWE - BRA,28.25
ESP,34,IRI - ESP,28.5084745762712
NED,59,QAT - NED,29.2830188679245
URU,21,BRA - URU,29.3518518518519
BEL,62,EGY - BEL,29.3636363636364
CPV,5,CPV - URU,29.5166666666667
MKD,60,ALG - MKD,29.5925925925926
NOR,10,NOR - MKD,29.7321428571429
ISL,56,CPV - ISL,29.7924528301887
DEN,46,TUN - DEN,29.843137254902
MNE,17,MNE - IRI,30.2641509433962
BEL,45,BEL - BRN,30.62
FRA,36,SLO - FRA,30.6842105263158
HUN,40,POR - HUN,30.7115384615385
GER,43,ALG - GER,30.8181818181818
NED,25,MKD - NED,30.8518518518519
URU,5,CPV - URU,31
CHI,33,MNE - CHI,31.0754716981132
NOR,26,NOR - ARG,31.22
FRA,1,FRA - POL,31.6382978723404
BRA,37,BRA - CPV,31.7090909090909
DEN,14,DEN - BEL,31.9423076923077
ESP,3,ESP - MNE,32.037037037037
USA,32,CRO - USA,32.1666666666667
GER,12,GER - QAT,32.1764705882353
MAR,15,MAR - USA,32.1851851851852
SLO,4,KSA - SLO,32.2941176470588
SRB,11,SRB - ALG,32.2962962962963
SLO,36,SLO - FRA,32.4736842105263
ESP,18,ESP - CHI,32.7962962962963
POR,23,POR - KOR,32.88
USA,47,USA - EGY,32.9661016949153
IRI,34,IRI - ESP,33.0689655172414
CHI,2,CHI - IRI,33.078431372549
KOR,7,HUN - KOR,33.22
CHI,18,ESP - CHI,33.2545454545455
CPV,37,BRA - CPV,33.7454545454545
SRB,27,GER - SRB,34.0196078431373
ISL,24,ISL - HUN,34.0754716981132
QAT,28,QAT - ALG,34.156862745098
NOR,58,NOR - SRB,34.2916666666667
BEL,29,BEL - TUN,34.3076923076923
URU,38,URU - SWE,34.3636363636364
ALG,11,SRB - ALG,34.3703703703704
POL,35,POL - KSA,34.3913043478261
USA,15,MAR - USA,34.4814814814815
HUN,24,ISL - HUN,34.5
MKD,10,NOR - MKD,34.5535714285714
CRO,16,EGY - CRO,34.5833333333333
MNE,3,ESP - MNE,34.6296296296296
ALG,43,ALG - GER,34.6363636363636
NED,42,NED - NOR,34.72
ARG,41,MKD - ARG,34.7647058823529
TUN,61,MAR - TUN,34.8333333333333
TUN,29,BEL - TUN,34.9230769230769
MKD,41,MKD - ARG,35.1346153846154
TUN,13,BRN - TUN,35.2608695652174
BRA,55,POR - BRA,35.3469387755102
KOR,39,KOR - ISL,35.3684210526316
SRB,44,QAT - SRB,35.4375
DEN,63,DEN - CRO,35.5652173913044
ALG,28,QAT - ALG,35.7307692307692
MKD,25,MKD - NED,35.8148148148148
MNE,33,MNE - CHI,36.1666666666667
MNE,50,FRA - MNE,36.3571428571429
ARG,9,ARG - NED,36.4310344827586
GER,27,GER - SRB,36.5686274509804
POL,20,POL - SLO,36.6521739130435
KOR,53,URU - KOR,36.7234042553192
EGY,62,EGY - BEL,36.7592592592593
BRN,64,USA - BRN,36.8545454545455
IRI,17,MNE - IRI,36.962962962963
KSA,19,FRA - KSA,36.9672131147541
ALG,60,ALG - MKD,37.0740740740741
NOR,42,NED - NOR,37.28
BEL,14,DEN - BEL,37.2884615384615
BRA,21,BRA - URU,37.3148148148148
IRI,2,CHI - IRI,37.5098039215686
HUN,7,HUN - KOR,38.0196078431373
POR,55,POR - BRA,38.1224489795918
CPV,56,CPV - ISL,38.1320754716981
KSA,4,KSA - SLO,38.2941176470588
HUN,54,SWE - HUN,38.3454545454545
POR,40,POR - HUN,38.5192307692308
ARG,57,GER - ARG,38.5263157894737
MAR,31,EGY - MAR,38.5964912280702
KOR,23,POR - KOR,39.12
QAT,12,GER - QAT,39.18
IRI,51,IRI - SLO,39.1818181818182
MAR,61,MAR - TUN,39.3469387755102
QAT,59,QAT - NED,39.3846153846154
QAT,44,QAT - SRB,39.5625
POL,49,ESP - POL,39.5681818181818
EGY,16,EGY - CRO,39.5918367346939
SRB,58,NOR - SRB,39.8775510204082
CPV,22,SWE - CPV,39.8888888888889
URU,53,URU - KOR,40.7391304347826
POR,8,ISL - POR,40.7441860465116
TUN,46,TUN - DEN,40.7450980392157
CHI,52,CHI - KSA,40.975
BRA,6,SWE - BRA,40.9807692307692
MAR,48,CRO - MAR,41.5769230769231
SLO,20,POL - SLO,41.6086956521739
ARG,26,NOR - ARG,41.6122448979592
BRN,45,BEL - BRN,42.2244897959184
ESP,49,ESP - POL,42.25
ISL,8,ISL - POR,42.9767441860465
BRN,13,BRN - TUN,43
CRO,63,DEN - CRO,43.6444444444444
KSA,35,POL - KSA,43.8695652173913
POL,1,FRA - POL,44.9574468085106
BRN,30,DEN - BRN,48.2352941176471
KSA,52,CHI - KSA,50.2820512820513
